Btrigger,Ftarget,risk_shortcut,C_shortcut,risk_sam,C_sam,sam_computed
1500000,0.3,0.026,347583.8791,0.039,347013.0919,TRUE
1500000,0.31,0.035,348685.397,0.048,348117.4533,TRUE
1500000,0.32,0.041,349767.4661,0.062,349195.7691,TRUE
1500000,0.33,0.048032708,350613.1308,0.070805895,350125.6323,FALSE
1500000,0.34,0.056291661,351467.6741,0.084766042,351008.4228,FALSE
1500000,0.35,0.066,352331.637,0.093807896,351843.5609,FALSE
1500000,0.36,0.074,353042.4913,0.098533233,352505.3696,FALSE
1500000,0.37,0.086,353714.3037,0.101238911,353233.23,FALSE
1500000,0.38,0.094,354341.7896,0.114832359,353363.2953,FALSE
1500000,0.39,0.099,354879.3628,0.118816051,352996.3458,FALSE
1600000,0.18,0.001,319137.7385,0.002145264,322250.8237,FALSE
1600000,0.19,0.001,322820.7826,0.002,321644.4817,TRUE
1600000,0.2,0.001733378,325948.1685,0.002728613,324817.0404,FALSE
1600000,0.21,0.003,329098.6409,0.003716774,328003.3717,FALSE
1600000,0.22,0.004,331773.6337,0.005614163,330778.5429,FALSE
1600000,0.23,0.004901286,334055.481,0.006711954,333303.4711,FALSE
1600000,0.24,0.006,336350.3376,0.008715271,335532.093,FALSE
1600000,0.25,0.008,338336.1899,0.011010942,337558.342,FALSE
1600000,0.26,0.01,340040.8851,0.014015412,339335.8899,FALSE
1600000,0.27,0.012,341636.0113,0.016,340893.9018,TRUE
1600000,0.28,0.013,343163.3979,0.017807526,342479.3369,FALSE
1600000,0.29,0.015,344537.9068,0.021511451,343911.4806,FALSE
1600000,0.3,0.019,345822.3483,0.025536952,345148.7986,FALSE
1600000,0.31,0.022,346998.6667,0.030451987,346324.6394,FALSE
1600000,0.32,0.026,348054.4346,0.038,347475.0975,TRUE
1600000,0.33,0.031667533,348969.9009,0.047,348495.9516,TRUE
1600000,0.34,0.038575022,349893.6465,0.06,349446.2175,TRUE
1600000,0.35,0.047,350826.2502,0.070444874,350358.1159,FALSE
1600000,0.36,0.056,351572.997,0.073454435,351073.356,FALSE
1600000,0.37,0.062,352307.457,0.075,351850.2458,TRUE
1600000,0.38,0.069,353012.1728,0.08499856,351995.3264,FALSE
1600000,0.39,0.08,353637.1452,0.088297482,351671.3014,FALSE
1700000,0.18,0.001,316846.2064,0.001894244,322451.1546,FALSE
1700000,0.19,0.001,320560.8289,0.001760411,321851.2928,FALSE
1700000,0.2,0.001415378,323688.5943,0.002344995,324826.5002,FALSE
1700000,0.21,0.002,326838.4278,0.003118464,327811.7114,FALSE
1700000,0.22,0.003,329478.2856,0.004572225,330405.3599,FALSE
1700000,0.23,0.003875065,331744.6999,0.00537236,332760.0096,FALSE
1700000,0.24,0.005,334022.7238,0.006824137,334832.4863,FALSE
1700000,0.25,0.005,336044.4839,0.008444961,336711.7566,FALSE
1700000,0.26,0.008,337861.0401,0.01052256,338354.3139,FALSE
1700000,0.27,0.009,339544.9537,0.011826087,339787.8759,FALSE
1700000,0.28,0.01,341108.6332,0.012972772,341245.3845,FALSE
1700000,0.29,0.013,342568.4382,0.015374048,342556.4825,FALSE
1700000,0.3,0.014,343884.6023,0.017917915,343682.1367,FALSE
1700000,0.31,0.015,345090.3194,0.020966593,344748.03,FALSE
1700000,0.32,0.019,346244.4519,0.025604748,345788.134,FALSE
1700000,0.33,0.023291619,347221.6502,0.031,346704.3277,TRUE
1700000,0.34,0.028550984,348206.4582,0.038,347697.2089,TRUE
1700000,0.35,0.035,349199.4857,0.048,348630.5046,TRUE
1700000,0.36,0.04,350043.6319,0.050364878,349343.0038,FALSE
1700000,0.37,0.047,350827.0455,0.051795323,350112.3102,FALSE
1700000,0.38,0.055,351560.9558,0.058779064,350285.6936,FALSE
1700000,0.39,0.059,352240.8443,0.061418277,350016.2349,FALSE
