"file","Ftrgt","Btrigger","HCR","TACconstr","BB","catch_long","catch_short","catch_medium","risk1_full","risk1_long","risk1_short","risk1_medium","risk3_long","risk3_short","risk3_medium","iav_long","iav_short","iav_medium"
"HCR-A_Ftrgt-0.37_Btrigger-120000_TACconstr-FALSE_BB-FALSE.rds",0.37,120000,"A",FALSE,FALSE,54702.1727,46616.222,55092.9982,0.0646,0.055,0.0986,0.0498,0.063,0.185,0.057,0.160803021014795,0.220678653115163,0.155579813904674
"HCR-A_Ftrgt-0.37_Btrigger-130000_TACconstr-FALSE_BB-FALSE.rds",0.37,130000,"A",FALSE,FALSE,54702.7472,46468.5704,55121.8028,0.05805,0.0507,0.0854,0.0454,0.057,0.185,0.049,0.170208494579545,0.250682871728033,0.161225446412883
"HCR-A_Ftrgt-0.37_Btrigger-140000_TACconstr-FALSE_BB-FALSE.rds",0.37,140000,"A",FALSE,FALSE,54696.8208,46307.2802,55098.6876,0.05135,0.0445,0.0748,0.0416,0.05,0.185,0.049,0.181223171665571,0.279923349244832,0.168772921440367
"HCR-A_Ftrgt-0.37_Btrigger-150000_TACconstr-FALSE_BB-FALSE.rds",0.37,150000,"A",FALSE,FALSE,54685.0487,46138.9498,55018.2804,0.04465,0.0376,0.0672,0.0362,0.043,0.185,0.041,0.193101436357733,0.308592884389355,0.177760727938822
"HCR-A_Ftrgt-0.37_Btrigger-160000_TACconstr-FALSE_BB-FALSE.rds",0.37,160000,"A",FALSE,FALSE,54665.4317,45960.6846,54892.8712,0.0387,0.0308,0.0612,0.032,0.038,0.185,0.038,0.205278348202567,0.336503167785323,0.18822209306998
"HCR-A_Ftrgt-0.37_Btrigger-170000_TACconstr-FALSE_BB-FALSE.rds",0.37,170000,"A",FALSE,FALSE,54644.3829,45772.202,54713.283,0.03355,0.0247,0.0578,0.027,0.03,0.185,0.033,0.216846316709519,0.363456998770688,0.199833910243265
"HCR-A_Ftrgt-0.38_Btrigger-110000_TACconstr-FALSE_BB-FALSE.rds",0.38,110000,"A",FALSE,FALSE,54730.7296,47402.722,55058.0902,0.0838,0.0741,0.1192,0.0678,0.086,0.185,0.076,0.159215537589434,0.192020441698781,0.155851802749805
"HCR-A_Ftrgt-0.38_Btrigger-130000_TACconstr-FALSE_BB-FALSE.rds",0.38,130000,"A",FALSE,FALSE,54732.0091,47099.161,55140.9994,0.06795,0.0624,0.0906,0.0564,0.072,0.185,0.064,0.178386303528264,0.246592437392005,0.167555845389743
"HCR-A_Ftrgt-0.38_Btrigger-140000_TACconstr-FALSE_BB-FALSE.rds",0.38,140000,"A",FALSE,FALSE,54730.5969,46931.337,55098.0088,0.0602,0.0553,0.0786,0.0516,0.061,0.185,0.058,0.190410978521967,0.275512991524747,0.175873976089141
"HCR-A_Ftrgt-0.38_Btrigger-150000_TACconstr-FALSE_BB-FALSE.rds",0.38,150000,"A",FALSE,FALSE,54721.6463,46757.464,55001.6192,0.05215,0.0462,0.07,0.0462,0.053,0.185,0.055,0.203131522238602,0.303807584223227,0.1858818738303
"HCR-A_Ftrgt-0.38_Btrigger-160000_TACconstr-FALSE_BB-FALSE.rds",0.38,160000,"A",FALSE,FALSE,54711.7029,46574.5546,54852.5344,0.0439,0.0374,0.0628,0.038,0.042,0.185,0.052,0.215800340881145,0.33137863681119,0.197547873672667
"HCR-A_Ftrgt-0.38_Btrigger-170000_TACconstr-FALSE_BB-FALSE.rds",0.38,170000,"A",FALSE,FALSE,54698.8201,46380.2524,54656.8032,0.03785,0.0299,0.0592,0.0324,0.036,0.185,0.039,0.227400360860651,0.358013639468738,0.209585550784677
"HCR-A_Ftrgt-0.38_Btrigger-190000_TACconstr-FALSE_BB-FALSE.rds",0.38,190000,"A",FALSE,FALSE,54645.3362,45926.1606,54224.3416,0.02885,0.0203,0.0534,0.0214,0.024,0.185,0.026,0.247240563592258,0.408143068970122,0.232358765062829
"HCR-A_Ftrgt-0.39_Btrigger-130000_TACconstr-FALSE_BB-FALSE.rds",0.39,130000,"A",FALSE,FALSE,54749.996,47706.1554,55126.3266,0.07985,0.0757,0.0956,0.0724,0.084,0.185,0.08,0.187093832470678,0.242691612046759,0.174379905923291
"HCR-A_Ftrgt-0.39_Btrigger-150000_TACconstr-FALSE_BB-FALSE.rds",0.39,150000,"A",FALSE,FALSE,54752.8605,47352.3516,54951.387,0.061,0.0572,0.0742,0.0554,0.064,0.185,0.063,0.213607561676094,0.299204364358526,0.194743020956833
"HCR-A_Ftrgt-0.39_Btrigger-160000_TACconstr-FALSE_BB-FALSE.rds",0.39,160000,"A",FALSE,FALSE,54751.0315,47165.8206,54781.2426,0.05115,0.046,0.0648,0.0478,0.055,0.185,0.058,0.226492909134783,0.326350216681496,0.20722117910094
"HCR-A_Ftrgt-0.39_Btrigger-170000_TACconstr-FALSE_BB-FALSE.rds",0.39,170000,"A",FALSE,FALSE,54746.8797,46964.6156,54574.8592,0.0439,0.0369,0.061,0.0408,0.045,0.185,0.053,0.238100201088575,0.352710976493277,0.219697648261113
"HCR-A_Ftrgt-0.39_Btrigger-180000_TACconstr-FALSE_BB-FALSE.rds",0.39,180000,"A",FALSE,FALSE,54732.6974,46752.8688,54347.4538,0.0381,0.0303,0.0582,0.0336,0.037,0.185,0.043,0.248437092544394,0.37843697770019,0.231628279353994
"HCR-A_Ftrgt-0.4_Btrigger-110000_TACconstr-FALSE_BB-FALSE.rds",0.4,110000,"A",FALSE,FALSE,54742.9793,48625.5386,55048.695,0.1138,0.1097,0.136,0.0998,0.13,0.185,0.109,0.171986006428876,0.185428749561709,0.166185886532069
"HCR-A_Ftrgt-0.4_Btrigger-130000_TACconstr-FALSE_BB-FALSE.rds",0.4,130000,"A",FALSE,FALSE,54759.7725,48287.7984,55082.32,0.0922,0.0896,0.1024,0.0872,0.108,0.185,0.098,0.196371641669308,0.23902464534415,0.181803215218428
