"file","OM","Ftrgt","Btrigger","HCR","TACconstr","BB","Blim","catch_long","catch_short","catch_medium","catch_median_long","catch_median_short","catch_median_medium","risk1_full","risk1_long","risk1_short","risk1_medium","risk3_long","risk3_short","risk3_medium","iav_long","iav_short","iav_medium","ssb_median_long","ssb_median_short","ssb_median_medium","fbar_median_long","fbar_median_short","fbar_median_medium","recovery_proportion","recovery_time","conv_failed","F_maxed","slope_long","slope_medium","slope_short"
"HCR-A_Ftrgt-0.32_Btrigger-170000_TACconstr-FALSE_BB-FALSE.rds","base",0.32,170000,"A",FALSE,FALSE,107297,119307.772227417,100372.655289412,122370.320970698,115199,96626,117928.5,0.00571428571428571,0.00354545454545455,0.0128,0.0034,0.005,0.023,0.004,0.138419925109468,0.164222332628901,0.149457175037945,305007.516087438,248433.741979594,311780.253326565,0.3197029223952,0.316060098648225,0.322421316831552,1,1,0,1,0.046826695762866,0.0594237695078031,0.101440576230492
"HCR-A_Ftrgt-0.32_Btrigger-190000_TACconstr-FALSE_BB-FALSE.rds","base",0.32,190000,"A",FALSE,FALSE,107297,119277.385683323,99648.1792894118,123041.336970698,115451.5,96599.5,119183.5,0.00557142857142857,0.00354545454545455,0.0122,0.0034,0.005,0.023,0.004,0.142081761068057,0.165350665471347,0.152822075896694,306505.851762277,249321.685517388,314664.779513667,0.318996075809336,0.313857142507829,0.32235898710403,1,1,0,1,0.0825604655391889,0.0902360944377751,0.162665066026411
"HCR-A_Ftrgt-0.32_Btrigger-210000_TACconstr-FALSE_BB-FALSE.rds","base",0.32,210000,"A",FALSE,FALSE,107297,119197.373262567,98576.9998276481,124068.825544846,115777.5,96532,120313,0.00538095238095238,0.00363636363636364,0.011,0.0036,0.006,0.023,0.005,0.145915908246384,0.166659298515563,0.158769875028319,308493.325763553,250594.458768252,319085.191600304,0.317531817823078,0.30960180097383,0.322178742655245,1,1,0,1,0.128011637421584,0.12765106042417,0.269907963185274
"HCR-A_Ftrgt-0.32_Btrigger-230000_TACconstr-FALSE_BB-FALSE.rds","base",0.32,230000,"A",FALSE,FALSE,107297,119084.382090909,97147.0856050997,125434.961895045,115958.5,91913.5,122218,0.00457142857142857,0.00336363636363636,0.0082,0.0036,0.006,0.019,0.007,0.150821033651084,0.205046203710089,0.163629058343337,310903.596419383,257425.241408968,323657.420355732,0.31579099105879,0.297754700941305,0.324135804159478,1,1,0,1,0.184363636363636,0.169135308246597,0.592718543708742
"HCR-A_Ftrgt-0.33_Btrigger-180000_TACconstr-FALSE_BB-FALSE.rds","base",0.33,180000,"A",FALSE,FALSE,107297,119344.737090909,101808.203638653,122587.62122249,115471.5,99125.5,118506,0.00785714285714286,0.00518181818181818,0.016,0.0056,0.008,0.026,0.009,0.143741770115736,0.145528756637473,0.153114774162384,296529.312632282,243817.338212319,303672.605282053,0.328932463936217,0.327671456371256,0.331294240896021,1,1,0,0,0.0801818181818182,0.0880176035207041,0.131052420968387
"HCR-A_Ftrgt-0.33_Btrigger-220000_TACconstr-FALSE_BB-FALSE.rds","base",0.33,220000,"A",FALSE,FALSE,107297,119199.198055819,99605.0263300224,124624.632499954,116059.5,97675.5,121541.5,0.00704761904761905,0.00536363636363636,0.0124,0.0054,0.008,0.024,0.007,0.152975960389165,0.158656861070928,0.165673879681212,300655.686402316,248312.658132339,312823.834179158,0.325641007100089,0.315768600906539,0.331357177709183,1,1,0,1,0.181198290753705,0.179871948779512,0.535507101420284
"HCR-A_Ftrgt-0.33_Btrigger-240000_TACconstr-FALSE_BB-FALSE.rds","base",0.33,240000,"A",FALSE,FALSE,107297,119079.092087142,97976.6138209769,126130.585865924,116295,91066.5,123095.5,0.00595238095238095,0.00527272727272727,0.0082,0.0052,0.008,0.017,0.008,0.159400815338795,0.213748603859419,0.171510914727274,305019.564109834,257045.964978957,316192.38538639,0.322919823546038,0.300562617138633,0.333416947383608,1,1,0,1,0.245408256046554,0.215172137710168,0.655331066213243
"HCR-A_Ftrgt-0.33_Btrigger-260000_TACconstr-FALSE_BB-FALSE.rds","base",0.33,260000,"A",FALSE,FALSE,107297,118850.006545455,96029.9222436381,128034.813216605,116451,85187.5,125532,0.00519047619047619,0.005,0.0052,0.0056,0.008,0.014,0.01,0.167299656095211,0.251509574315881,0.177592294582552,309062.369256295,266897.994655451,321987.511552043,0.318146633575618,0.2822728598031,0.335718292519859,1,1,0,0,0.310272727272727,0.250300120048019,0.749749949989998
"HCR-A_Ftrgt-0.33_Btrigger-270000_TACconstr-FALSE_BB-FALSE.rds","base",0.33,270000,"A",FALSE,FALSE,107297,118726.047,94987.4775228413,129021.32737056,116484.5,82511.5,126381.5,0.0050952380952381,0.00527272727272727,0.0042,0.0056,0.008,0.011,0.011,0.172424681163011,0.258441056797738,0.181099338315902,311465.598993593,271853.900413801,324669.607829088,0.315944252645197,0.27288937335289,0.336811032982845,1,1,0,0,0.342636363636364,0.268107242897159,0.782156431286257
"HCR-A_Ftrgt-0.33_Btrigger-2e+05_TACconstr-FALSE_BB-FALSE.rds","base",0.33,2e+05,"A",FALSE,FALSE,107297,119290.220545455,100897.714982193,123420.653130808,115784,99074,119661,0.00766666666666667,0.00527272727272727,0.0152,0.0054,0.008,0.026,0.008,0.147656831128663,0.146399386249224,0.159269576890094,298125.960929089,244947.395111251,306831.614689556,0.327751117603741,0.323398920623687,0.330761891921794,1,1,0,0,0.125454545454545,0.129251700680272,0.213485394157663
