file,OM,Ftrgt,Btrigger,HCR,TACconstr,BB,ObsRho,ObsSd,Ftrgt1,Blim,MSYBtrigger,catch_long,catch_short,catch_medium,catch_median_long,catch_median_short,catch_median_medium,risk1_full,risk1_long,risk1_short,risk1_medium,risk3_long,risk3_short,risk3_medium,iav_long,iav_short,iav_medium,iavTAC_long,iavTAC_short,iavTAC_medium,ssb_median_long,ssb_median_short,ssb_median_medium,fbar_median_long,fbar_median_short,fbar_median_medium,recovery_proportion,recovery_time,conv_failed,F_maxed,slope_long,slope_medium,slope_short
MP_whiting_HCR-A_Ftrgt-0.06_Btrigger-170000_TACconstr-FALSE_BB-FALSE_ObsRho-0.47_ObsSd-0.17.rds,MP_whiting,0.06,170000,A,FALSE,FALSE,0.47,0.17,0.06,119970,166708,13479.5991217534,9720.03294917935,12070.6961234794,13121.3130409252,9879.39604223913,11928.8849042326,0.03215,0.0167,0.0564,0.0388,0.022,0.069,0.051,0.146545171731539,0.272781384514829,0.153880490274777,0.146248744796122,0.203284015310447,0.151629801497558,226885.232178444,175681.548345217,211380.776830303,0.0593968982980309,0.055092584176136,0.0578948927768436,0.991,1,,0,0.1743,0.2634,0.4706
MP_whiting_HCR-A_Ftrgt-0.06_Btrigger-180000_TACconstr-FALSE_BB-FALSE_ObsRho-0.47_ObsSd-0.17.rds,MP_whiting,0.06,180000,A,FALSE,FALSE,0.47,0.17,0.06,119970,166708,13419.0119374868,9545.20884152741,11987.0577764982,13139.5775920774,9653.28495338585,11964.0769543907,0.03115,0.0159,0.0548,0.038,0.021,0.068,0.05,0.151388521933181,0.288654999846327,0.162381877372645,0.15065829742289,0.213458166751774,0.159295883210116,227124.043198908,175850.267096872,211642.631924705,0.05911852403211,0.0537093254486843,0.0573386528161197,0.991,1,,0,0.2235,0.3208,0.5518
MP_whiting_HCR-A_Ftrgt-0.06_Btrigger-190000_TACconstr-FALSE_BB-FALSE_ObsRho-0.47_ObsSd-0.17.rds,MP_whiting,0.06,190000,A,FALSE,FALSE,0.47,0.17,0.06,119970,166708,13340.5788139476,9347.87236653584,11885.0957103926,13157.9416078459,9198.42538132441,12000.8561312179,0.03035,0.0151,0.0544,0.0368,0.02,0.067,0.05,0.157362197567679,0.302559197375445,0.170188758257731,0.156303086710371,0.226598073983016,0.166625384944132,227438.349483641,176170.279848001,211969.095186683,0.0587622126306742,0.0520644649827474,0.056759942972025,0.991,1,,0,0.2799,0.386,0.6254
MP_whiting_HCR-A_Ftrgt-0.06_Btrigger-210000_TACconstr-FALSE_BB-FALSE_ObsRho-0.47_ObsSd-0.17.rds,MP_whiting,0.06,210000,A,FALSE,FALSE,0.47,0.17,0.06,119970,166708,13126.0136199094,8918.91188044497,11621.4718918643,13197.3321485463,8384.82165724361,11870.8270316834,0.02895,0.0139,0.0528,0.0352,0.018,0.065,0.048,0.172051734196505,0.327039078377495,0.187397323492278,0.171631456586934,0.242125242918458,0.181058432443005,228068.920551003,176624.346889284,212716.05500897,0.0577067535642893,0.0483507465318424,0.0549507280445501,0.991,1,,0,0.4012,0.5088,0.744
MP_whiting_HCR-A_Ftrgt-0.06_Btrigger-220000_TACconstr-FALSE_BB-FALSE_ObsRho-0.47_ObsSd-0.17.rds,MP_whiting,0.06,220000,A,FALSE,FALSE,0.47,0.17,0.06,119970,166708,12990.8983221588,8690.71887560176,11466.6827766259,13161.0534145489,8034.94403465256,11486.8094179911,0.0279,0.0132,0.0518,0.0334,0.017,0.062,0.047,0.180186332197463,0.335591997486132,0.197033977519626,0.179415011676036,0.249061605826265,0.191739970529842,228549.382141485,176903.876808914,213185.204908703,0.0568287246383195,0.0463242418288016,0.0536159842682213,0.992,1,,0,0.461,0.5666,0.796
MP_whiting_HCR-A_Ftrgt-0.06_Btrigger-230000_TACconstr-FALSE_BB-FALSE_ObsRho-0.47_ObsSd-0.17.rds,MP_whiting,0.06,230000,A,FALSE,FALSE,0.47,0.17,0.06,119970,166708,12839.0410112772,8458.00795397211,11298.1474745906,13008.2770276024,7717.10934247379,11050.4127000631,0.0271,0.0126,0.0504,0.0328,0.017,0.058,0.047,0.187461787730222,0.34291272376813,0.204500250916146,0.18712254770071,0.255152630087441,0.199505657720793,228978.819850642,177066.335556311,213638.368242408,0.0559364770782661,0.0444271731073325,0.0523159811333576,0.992,1,,0,0.5204,0.624,0.8384
MP_whiting_HCR-A_Ftrgt-0.06_Btrigger-240000_TACconstr-FALSE_BB-FALSE_ObsRho-0.47_ObsSd-0.17.rds,MP_whiting,0.06,240000,A,FALSE,FALSE,0.47,0.17,0.06,119970,166708,12672.2255321207,8226.60770283519,11117.670056664,12597.7686547154,7421.06575626508,10652.6185563303,0.02645,0.0121,0.0494,0.0322,0.017,0.057,0.046,0.19666909812295,0.348983112937388,0.211921728033578,0.196205329794559,0.26329817924248,0.20729854542076,229471.896944438,177287.832166491,214179.909695212,0.0547247824298119,0.0426773962291931,0.0508308865655063,0.993,1,,0,0.5787,0.6758,0.8676
MP_whiting_HCR-A_Ftrgt-0.06_Btrigger-250000_TACconstr-FALSE_BB-FALSE_ObsRho-0.47_ObsSd-0.17.rds,MP_whiting,0.06,250000,A,FALSE,FALSE,0.47,0.17,0.06,119970,166708,12492.0985016262,7997.41943728469,10926.5136096467,12180.1503741401,7146.44383149253,10312.2711298225,0.02605,0.0119,0.0488,0.0316,0.017,0.056,0.046,0.204338386364562,0.353420847230455,0.220128143571687,0.203770272549895,0.267164666487438,0.21455661621373,230053.874654931,177578.065824678,214718.68186955,0.0534108131344811,0.0409918424258241,0.0491337647216702,0.993,1,,0,0.632,0.724,0.8988
MP_whiting_HCR-A_Ftrgt-0.06_Btrigger-260000_TACconstr-FALSE_BB-FALSE_ObsRho-0.47_ObsSd-0.17.rds,MP_whiting,0.06,260000,A,FALSE,FALSE,0.47,0.17,0.06,119970,166708,12302.2994408278,7772.2528365519,10728.6202838485,11770.0551251657,6891.17450413658,9975.47053778625,0.02555,0.0116,0.0482,0.0308,0.017,0.055,0.045,0.212246411519464,0.35935180282424,0.226874037989433,0.21153742253552,0.271388367598575,0.220171270068867,230637.631007476,177859.334858979,215226.01623348,0.0519251128528589,0.0394725038432197,0.0475246059295257,0.993,1,,0,0.6765,0.7628,0.9178
MP_whiting_HCR-A_Ftrgt-0.06_Btrigger-2e+05_TACconstr-FALSE_BB-FALSE_ObsRho-0.47_ObsSd-0.17.rds,MP_whiting,0.06,2e+05,A,FALSE,FALSE,0.47,0.17,0.06,119970,166708,13243.0509257322,9137.91969428462,11762.3158676571,13179.0551070098,8770.75829859014,11997.8147045682,0.02975,0.0145,0.0538,0.0362,0.019,0.066,0.05,0.164561811490964,0.314289986949701,0.178805796559426,0.16368686194999,0.234785505863321,0.174639911400649,227789.576509033,176421.091025094,212323.995397043,0.0582838323926424,0.0502909296405985,0.0558237735754485,0.991,1,,0,0.3378,0.4546,0.6858
