"file","OM","Ftrgt","Btrigger","HCR","TACconstr","BB","Blim","catch_long","catch_short","catch_medium","catch_median_long","catch_median_short","catch_median_medium","risk1_full","risk1_long","risk1_short","risk1_medium","risk3_long","risk3_short","risk3_medium","iav_long","iav_short","iav_medium","ssb_median_long","ssb_median_short","ssb_median_medium","recovery_proportion","recovery_time","conv_failed","F_maxed","F0","fbar_median_long","fbar_median_short","fbar_median_medium","slope_long","slope_medium","slope_short","HPC"
"cod4_alt2_HCR-A_Ftrgt-0.31_Btrigger-150000_TACconstr-FALSE_BB-FALSE.rds","cod4_alt2",0.31,150000,"A",FALSE,FALSE,108000,55683.9957,43836.9756,56623.6794,54152,41880,55144,0.037,0.0237,0.0798,0.0208,0.029,0.269,0.025,0.130348836171925,0.318588936088904,0.15987902517798,186449.94852426,169662.770136372,189853.533035534,0.998,2,0,0,NA,0.309482424817676,0.24686227549175,0.314235505967125,0.1561,0.1148,0.474,"UEA"
"cod4_alt2_HCR-A_Ftrgt-0.38_Btrigger-170000_TACconstr-FALSE_BB-FALSE.rds","cod4_alt2",0.38,170000,"A",FALSE,FALSE,108000,55847.788726678,48598.0968,56111.3658,55360,44615,56219,0.0809,0.0756,0.0902,0.0822,0.087,0.269,0.098,0.197681299125681,0.343208295829745,0.241858724483052,160584.162265052,162525.322909069,159333.486546401,0.988,2,0,1,FALSE,0.355969325492279,0.281495779907051,0.36699243886828,0.5421,0.4998,0.605,"UEA"
"cod4_alt2_HCR-A_Ftrgt-0.4_Btrigger-190000_TACconstr-TRUE_BB-TRUE.rds","cod4_alt2",0.4,190000,"A",TRUE,TRUE,108000,55842.338048859,48506.6953,56681.82924,53009.7,43450.5,53434.4,0.0774,0.0718,0.0856,0.0804,0.08,0.269,0.094,0.279165528753275,0.431629672789563,0.329002172128018,160777.077735304,163644.026450547,158749.876445339,0.992,2,0,1,NA,0.344572173708804,0.269963116128932,0.357040023892752,0.7043,0.6918,0.6908,"UEA"
"cod4_alt2_HCR-A_Ftrgt-0.41_Btrigger-190000_TACconstr-TRUE_BB-TRUE.rds","cod4_alt2",0.41,190000,"A",TRUE,TRUE,108000,55849.8780312497,49087.64794,56461.53754,52990.35,43688,53201,0.08715,0.0826,0.0882,0.0952,0.094,0.269,0.114,0.284310765983608,0.426944003296013,0.33467366185456,158232.871210465,162293.704494946,155893.841857024,0.991,2,0,1,FALSE,0.349461095460374,0.275713209660983,0.36078320936525,0.7242,0.716,0.7052,"UEA"
"cod4_alt2_HCR-B_Ftrgt-0.36_Btrigger-130000_TACconstr-TRUE_BB-TRUE.rds","cod4_alt2",0.36,130000,"B",TRUE,TRUE,108000,55829.76179,46587.509,58829.18326,54212.4,43064.8,57515.55,0.08655,0.0843,0.1052,0.0724,0.103,0.269,0.103,0.344275578500533,0.336049685359796,0.451631934994711,161464.063425023,156824.191668952,163921.452291637,0.984,3,0,0,FALSE,0.355208004685189,0.289974623678717,0.376700589609454,0.1822,0.1526,0.423,"UEA"
"cod4_alt2_HCR-B_Ftrgt-0.38_Btrigger-160000_TACconstr-FALSE_BB-FALSE.rds","cod4_alt2",0.38,160000,"B",FALSE,FALSE,108000,55824.419508267,48952.7748,55967.4372,56248.5,46639,56529.5,0.08645,0.0824,0.0926,0.0884,0.093,0.269,0.101,0.193734078575931,0.400208045396829,0.307333276607752,159366.015315718,162042.934280628,158035.314421436,0.989,2,0,1,FALSE,0.363968896169001,0.293403744048124,0.373620003910843,0.4563,0.4148,0.5506,"UEA"
"cod4_alt2_HCR-C_Ftrgt-0.36_Btrigger-140000_TACconstr-TRUE_BB-TRUE.rds","cod4_alt2",0.36,140000,"C",TRUE,TRUE,108000,55834.3498,46478.62384,59061.28702,53512.65,42134.1,57198.3,0.0877,0.0852,0.1052,0.0752,0.106,0.269,0.109,0.320422634813756,0.365651301465285,0.386997264198045,160478.22516322,156445.957382345,163688.71105675,0.984,2,0,0,FALSE,0.350817652794338,0.280082900008583,0.373242515701414,0.2658,0.2262,0.49,"UEA"
"cod4_alt2_HCR-C_Ftrgt-0.38_Btrigger-170000_TACconstr-FALSE_BB-FALSE.rds","cod4_alt2",0.38,170000,"C",FALSE,FALSE,108000,55848.008826678,48598.0968,56111.3658,55360,44615,56219,0.0809,0.0756,0.0902,0.0822,0.087,0.269,0.098,0.197681299125681,0.343208295829745,0.241858724483052,160584.162265052,162525.322909069,159333.486546401,0.988,2,0,1,FALSE,0.355969325492279,0.281495779907051,0.36699243886828,0.5421,0.4998,0.605,"UEA"
"cod4_alt3_F0.rds","cod4_alt3",0,0,"F0",FALSE,FALSE,107000,0,0,0,0,0,0,0.0095,0,0.038,0,0,0.183,0,0,0,0,407684.784705093,238838.782506713,415047.166690407,1,2,NA,0,NA,0,0,0,0,0,0,"UEA"
"cod4_alt3_HCR-A_Ftrgt-0.31_Btrigger-150000_TACconstr-FALSE_BB-FALSE.rds","cod4_alt3",0.31,150000,"A",FALSE,FALSE,107000,48684.532,41246.466,48655.4476,47795.5,38828,47674,0.02305,0.0115,0.0556,0.0136,0.017,0.183,0.018,0.121401623362084,0.305806951151079,0.155580432470832,184190.261880005,168210.717006565,181675.550605356,0.998,2,0,0,NA,0.300872357000695,0.255589226623727,0.308166999988645,0.1847,0.1568,0.503,"UEA"
"cod4_alt3_HCR-A_Ftrgt-0.38_Btrigger-170000_TACconstr-FALSE_BB-FALSE.rds","cod4_alt3",0.38,170000,"A",FALSE,FALSE,107000,51835.0668,45627.8738,50325.1834,51704,40723,50034.5,0.0428,0.0335,0.061,0.0432,0.04,0.183,0.052,0.179700830710342,0.323449346529651,0.235205040337626,166340.760243635,161667.848966391,160933.081208447,0.996,2,0,0,NA,0.348740906700574,0.286773600127201,0.351507381822309,0.544,0.5586,0.6426,"UEA"
"cod4_alt3_HCR-A_Ftrgt-0.4_Btrigger-190000_TACconstr-TRUE_BB-TRUE.rds","cod4_alt3",0.4,190000,"A",TRUE,TRUE,107000,51850.35285,45419.2585,50778.40832,49561.3,39469,47812.9,0.0417,0.0334,0.0576,0.0424,0.042,0.183,0.051,0.257169916431968,0.414066826688997,0.307523006545487,166750.546367393,162809.700310785,161386.433986752,0.997,2,0,0,NA,0.337700072386526,0.276414201927743,0.337370039649106,0.7141,0.754,0.7326,"UEA"
"cod4_alt3_HCR-B_Ftrgt-0.36_Btrigger-130000_TACconstr-TRUE_BB-TRUE.rds","cod4_alt3",0.36,130000,"B",TRUE,TRUE,107000,51672.00069,44107.61522,52948.84432,50188.05,40698.7,51954.4,0.04875,0.0395,0.0746,0.0414,0.054,0.183,0.052,0.335896502101021,0.320215613102643,0.445203254163821,165974.658790992,157126.08839722,164360.782740412,0.997,3,0,0,NA,0.34522274918042,0.297066225903765,0.365004203943531,0.1616,0.1618,0.4576,"UEA"
"cod4_alt3_HCR-B_Ftrgt-0.38_Btrigger-160000_TACconstr-FALSE_BB-FALSE.rds","cod4_alt3",0.38,160000,"B",FALSE,FALSE,107000,52021.1858,46063.2934,50364.4492,52480,43041,50706.5,0.0473,0.0389,0.0622,0.0492,0.045,0.183,0.06,0.176934298840597,0.392971026178573,0.303978638404842,164338.696116276,162111.26796439,159000.106637166,0.997,2,0,0,NA,0.356841160201313,0.301167008899207,0.359088669131258,0.451,0.4664,0.5788,"UEA"
"cod4_alt3_HCR-C_Ftrgt-0.36_Btrigger-140000_TACconstr-TRUE_BB-TRUE.rds","cod4_alt3",0.36,140000,"C",TRUE,TRUE,107000,51684.73612,43959.38168,53241.90572,49656.3,39148.25,51702.8,0.0494,0.0398,0.0764,0.0416,0.055,0.183,0.058,0.320439305187591,0.351235011196791,0.376346327505716,165785.216715349,155910.245732129,164653.452623334,0.996,3,0,0,NA,0.339781570838747,0.28600339146199,0.361224601907086,0.2483,0.2456,0.5246,"UEA"
"cod4_alt3_HCR-C_Ftrgt-0.38_Btrigger-170000_TACconstr-FALSE_BB-FALSE.rds","cod4_alt3",0.38,170000,"C",FALSE,FALSE,107000,51835.0668,45627.8738,50325.1834,51704,40723,50034.5,0.0428,0.0335,0.061,0.0432,0.04,0.183,0.052,0.179700830710342,0.323449346529651,0.235205040337626,166340.760243635,161667.848966391,160933.081208447,0.996,2,0,0,NA,0.348740906700574,0.286773600127201,0.351507381822309,0.544,0.5586,0.6426,"UEA"
"cod4_F0.rds","cod4",0,0,"F0",FALSE,FALSE,107000,0,0,0,0,0,0,0.0096,0,0.0384,0,0,0.185,0,0,0,0,701275.021402033,245097.541526179,541239.600254921,1,2,NA,0,NA,0,0,0,0,0,0,"UEA"
"cod4_HCR-A_Ftrgt-0.1_Btrigger-110000_TACconstr-FALSE_BB-FALSE.rds","cod4",0.1,110000,"A",FALSE,FALSE,107000,35837.7168,18934.3914,31934.137,34965,17362.5,31493.5,0.01035,0,0.0414,0,0,0.185,0,0.0716035232624834,0.28711077364175,0.109329054459733,438135.539394403,212023.973256762,380870.804315287,1,2,0,0,FALSE,0.100758321964029,0.0883141632928771,0.0983633075139846,0,0,0.0676,"UEA"
"cod4_HCR-A_Ftrgt-0.1_Btrigger-110000_TACconstr-TRUE_BB-TRUE.rds","cod4",0.1,110000,"A",TRUE,TRUE,107000,35777.34958,22120.24676,32336.00156,34366.55,19306.94,31187.2,0.0169,0,0.0676,0,0,0.185,0,0.369542846715007,0.307545177270328,0.452263349833518,435302.338003175,179716.855855084,366645.146481376,1,3,0,0,FALSE,0.0989567889129325,0.0965981663862802,0.104010649596819,0,0,0.108,"UEA"
"cod4_HCR-A_Ftrgt-0.1_Btrigger-120000_TACconstr-FALSE_BB-FALSE.rds","cod4",0.1,120000,"A",FALSE,FALSE,107000,35842.1992,18822.1322,31963.6126,34973,17506.5,31532.5,0.01025,0,0.041,0,0,0.185,0,0.0716721967474652,0.299338019065738,0.108945519171898,438175.939101485,213139.694716379,381203.359144415,1,2,0,0,NA,0.100731807997107,0.0875392881208622,0.0983391167944094,0,0,0.3178,"POD"
"cod4_HCR-A_Ftrgt-0.1_Btrigger-130000_TACconstr-FALSE_BB-FALSE.rds","cod4",0.1,130000,"A",FALSE,FALSE,107000,35847.5069,18662.7676,32005.7284,34989.5,17698,31579.5,0.01015,0,0.0406,0,0,0.185,0,0.0719782244307938,0.326402169217657,0.108542299181787,438255.472937789,214525.270558599,381737.87132659,1,2,0,0,FALSE,0.100760205144587,0.0864749761848574,0.0984636432859589,0,0,0.357,"UEA"
"cod4_HCR-A_Ftrgt-0.1_Btrigger-130000_TACconstr-TRUE_BB-TRUE.rds","cod4",0.1,130000,"A",TRUE,TRUE,107000,35896.15729,18158.36302,33200.6791,34485.9,16704.05,32201.5,0.01015,0,0.0406,0,0,0.185,0,0.364659658190956,0.45528707497963,0.431877888564126,438135.854091098,214390.724732576,381575.806199994,1,2,0,0,FALSE,0.0991539161409509,0.0801400433658374,0.104073122926985,0,0,0.357,"UEA"
"cod4_HCR-A_Ftrgt-0.1_Btrigger-140000_TACconstr-FALSE_BB-FALSE.rds","cod4",0.1,140000,"A",FALSE,FALSE,107000,35853.6681,18505.0392,32048.6116,34990.5,17897,31606.5,0.01015,0,0.0406,0,0,0.185,0,0.0723140481937951,0.336530063648732,0.108082619197951,438335.157333948,216108.735332211,382423.46928088,1,2,0,0,NA,0.100761046328405,0.0853029627684305,0.098513897618258,0,0,0.3836,"POD"
"cod4_HCR-A_Ftrgt-0.1_Btrigger-150000_TACconstr-FALSE_BB-FALSE.rds","cod4",0.1,150000,"A",FALSE,FALSE,107000,35860.3926,18352.6596,32088.7238,35005,18030.5,31639,0.0101,0,0.0404,0,0,0.185,0,0.0723002305999178,0.340995936992453,0.107779039737954,438498.930792909,217433.351767645,382926.127448309,1,2,0,0,FALSE,0.100772971489136,0.0844505331848696,0.0984888520558226,0,0,0.3952,"UEA"
"cod4_HCR-A_Ftrgt-0.1_Btrigger-150000_TACconstr-TRUE_BB-TRUE.rds","cod4",0.1,150000,"A",TRUE,TRUE,107000,35907.79137,17851.84498,33273.47258,34494.2,16763.2,32283.35,0.0101,0,0.0404,0,0,0.185,0,0.363421684519594,0.502945656836103,0.429386700863056,438337.543967433,217278.009885302,382669.544107887,1,2,0,0,FALSE,0.0991151172036741,0.0774887837524705,0.104237346551498,0,0,0.3952,"UEA"
"cod4_HCR-A_Ftrgt-0.1_Btrigger-160000_TACconstr-FALSE_BB-FALSE.rds","cod4",0.1,160000,"A",FALSE,FALSE,107000,35867.0046,18210.9766,32128.2786,35005.5,18145.5,31678.5,0.01005,0,0.0402,0,0,0.185,0,0.0722891467207298,0.341895029280259,0.107465969346003,438637.042955882,218583.827183691,383497.943204546,1,2,0,0,NA,0.100792803509155,0.0837980156583557,0.0984813537326706,0,0,0.4048,"POD"
"cod4_HCR-A_Ftrgt-0.1_Btrigger-170000_TACconstr-FALSE_BB-FALSE.rds","cod4",0.1,170000,"A",FALSE,FALSE,107000,35871.6278,18080.5848,32165.9698,35015,18280,31701,0.01005,0,0.0402,0,0,0.185,0,0.0722065435820468,0.343494295247688,0.107149150178149,438632.73995278,219463.534159704,383954.586811272,1,2,0,0,FALSE,0.100764988598335,0.0833930875851433,0.0986008862933237,0,0,0.4132,"UEA"
"cod4_HCR-A_Ftrgt-0.1_Btrigger-170000_TACconstr-TRUE_BB-TRUE.rds","cod4",0.1,170000,"A",TRUE,TRUE,107000,35918.47624,17575.97838,33346.04738,34522.35,16795.05,32367.85,0.01005,0,0.0402,0,0,0.185,0,0.362066894319468,0.528872312066603,0.427333913090111,438491.489063199,219462.358373264,383958.508371365,1,2,0,0,FALSE,0.0991282004870206,0.0752095291213118,0.104237867135445,0,0,0.4132,"UEA"
"cod4_HCR-A_Ftrgt-0.1_Btrigger-180000_TACconstr-FALSE_BB-FALSE.rds","cod4",0.1,180000,"A",FALSE,FALSE,107000,35877.7688,17958.3724,32200.777,35019,18375,31724,0.01,0,0.04,0,0,0.185,0,0.0722050934064082,0.347436423970088,0.106895587656115,438664.613452492,220454.717230607,384244.703280369,1,2,0,0,NA,0.100810935966164,0.0832338426719961,0.0986195101607235,0,0,0.4254,"POD"
"cod4_HCR-A_Ftrgt-0.1_Btrigger-190000_TACconstr-FALSE_BB-FALSE.rds","cod4",0.1,190000,"A",FALSE,FALSE,107000,35883.9166,17838.4858,32234.0252,35047.5,18481,31741,0.00995,0,0.0398,0,0,0.185,0,0.0723187006913683,0.352146836116128,0.106579388410591,438738.696977882,221402.507397708,384668.123090213,1,2,0,0,FALSE,0.100777102872814,0.0829623015087851,0.0986742369339706,0,0,0.4424,"UEA"
"cod4_HCR-A_Ftrgt-0.1_Btrigger-190000_TACconstr-TRUE_BB-TRUE.rds","cod4",0.1,190000,"A",TRUE,TRUE,107000,35928.22175,17326.52086,33413.97902,34552,17049.35,32435.6,0.00995,0,0.0398,0,0,0.185,0,0.361474460202765,0.536432046495161,0.425652894907767,438536.444229257,221514.294992151,385104.02811744,1,2,0,0,FALSE,0.0991898950607093,0.0742505129009497,0.104308398956711,0,0,0.4424,"UEA"
"cod4_HCR-A_Ftrgt-0.1_Btrigger-210000_TACconstr-FALSE_BB-FALSE.rds","cod4",0.1,210000,"A",FALSE,FALSE,107000,35895.446,17598.7268,32303.9398,35046,18428,31799.5,0.0099,0,0.0396,0,0,0.185,0,0.0725216892982382,0.368737305217627,0.106023769409249,438824.264291841,223177.576654296,385674.670382408,1,2,0,0,NA,0.100837384118915,0.0817394081659742,0.0987301205765287,0,6e-04,0.4818,"POD"
"cod4_HCR-A_Ftrgt-0.1_Btrigger-2e+05_TACconstr-FALSE_BB-FALSE.rds","cod4",0.1,2e+05,"A",FALSE,FALSE,107000,35889.5169,17719.82,32268.3956,35026.5,18532.5,31768,0.0099,0,0.0396,0,0,0.185,0,0.0723498551793575,0.361689287065678,0.106313063387992,438800.054426844,222382.146998492,385234.803862669,1,2,0,0,NA,0.100806977424689,0.082368157157282,0.0986482331229727,0,2e-04,0.4606,"POD"
"cod4_HCR-A_Ftrgt-0.11_Btrigger-110000_TACconstr-FALSE_BB-FALSE.rds","cod4",0.11,110000,"A",FALSE,FALSE,107000,37893.5666,20471.3136,34042.4062,36976.5,18712,33562.5,0.0104,0,0.0416,0,0,0.185,0,0.07275244184862,0.285066662414216,0.109653976190552,419336.780988794,209136.073778454,368333.015504252,1,2,0,0,NA,0.110818269218143,0.096996404993841,0.108283421123573,0,0,0.0678,"POD"
"cod4_HCR-A_Ftrgt-0.11_Btrigger-120000_TACconstr-FALSE_BB-FALSE.rds","cod4",0.11,120000,"A",FALSE,FALSE,107000,37897.5552,20356.8942,34073.5032,36973.5,18834.5,33564,0.01035,0,0.0414,0,0,0.185,0,0.0730279703863533,0.297734906981513,0.109183301377956,419384.061082256,210206.175076165,368810.193393654,1,2,0,0,NA,0.11086676190365,0.096155379423089,0.108252895190411,0,0,0.3178,"POD"
"cod4_HCR-A_Ftrgt-0.11_Btrigger-130000_TACconstr-FALSE_BB-FALSE.rds","cod4",0.11,130000,"A",FALSE,FALSE,107000,37903.2409,20195.7614,34119.0392,36984.5,19085.5,33611.5,0.01035,0,0.0414,0,0,0.185,0,0.0732220303867578,0.32431780102417,0.108722718515322,419538.667489892,211909.888566908,369275.334281758,1,2,0,0,NA,0.110822710264952,0.0950871685368627,0.108368851225493,0,0,0.3574,"POD"
"cod4_HCR-A_Ftrgt-0.11_Btrigger-140000_TACconstr-FALSE_BB-FALSE.rds","cod4",0.11,140000,"A",FALSE,FALSE,107000,37909.7256,20031.6474,34165.9094,36974,19295,33655,0.01015,0,0.0406,0,0,0.185,0,0.0735128165931945,0.33404993818876,0.108331219544672,419577.891211375,213506.889985397,369817.457199077,1,2,0,0,NA,0.110873239808811,0.0936906854076821,0.108380569430494,0,0,0.3844,"POD"
"cod4_HCR-A_Ftrgt-0.11_Btrigger-150000_TACconstr-FALSE_BB-FALSE.rds","cod4",0.11,150000,"A",FALSE,FALSE,107000,37917.3122,19874.3596,34210.879,37000.5,19483.5,33692,0.01015,0,0.0406,0,0,0.185,0,0.0733293604416096,0.340396194739828,0.107966365390701,419699.423510732,214876.232725958,370400.824786892,1,2,0,0,NA,0.110891964723419,0.0927373075263523,0.108423458368226,0,0,0.3966,"POD"
"cod4_HCR-A_Ftrgt-0.11_Btrigger-160000_TACconstr-FALSE_BB-FALSE.rds","cod4",0.11,160000,"A",FALSE,FALSE,107000,37924.2995,19728.3538,34252.9638,37015,19643,33731.5,0.0101,0,0.0404,0,0,0.185,0,0.0737384971154394,0.342009014333703,0.107674826346178,419681.315326298,216027.537090608,370943.961165611,1,2,0,0,NA,0.11088746813529,0.092050575984191,0.108439731487354,0,0,0.4068,"POD"
"cod4_HCR-A_Ftrgt-0.11_Btrigger-170000_TACconstr-FALSE_BB-FALSE.rds","cod4",0.11,170000,"A",FALSE,FALSE,107000,37930.6157,19592.11,34294.9624,37015,19770.5,33754,0.0101,0,0.0404,0,0,0.185,0,0.0739478838053912,0.344103356144394,0.107373405181849,419845.875760155,217239.703061091,371516.458848029,1,2,0,0,NA,0.110911157704509,0.0916103704188479,0.108455586428736,0,0,0.4166,"POD"
"cod4_HCR-A_Ftrgt-0.11_Btrigger-180000_TACconstr-FALSE_BB-FALSE.rds","cod4",0.11,180000,"A",FALSE,FALSE,107000,37936.2996,19462.7144,34333.801,37018.5,19898,33769.5,0.01005,0,0.0402,0,0,0.185,0,0.07388372400606,0.348480077073141,0.107074833612566,419923.496249411,218321.856950236,371961.764028574,1,2,0,0,NA,0.110888958908502,0.091432455209724,0.108534387627403,0,0,0.4294,"POD"
"cod4_HCR-A_Ftrgt-0.11_Btrigger-190000_TACconstr-FALSE_BB-FALSE.rds","cod4",0.11,190000,"A",FALSE,FALSE,107000,37942.6822,19336.1854,34374.5236,37004.5,19977.5,33810.5,0.01005,0,0.0402,0,0,0.185,0,0.073845131053369,0.35303244653743,0.106812345501681,419955.522911748,219369.663094486,372258.989426697,1,2,0,0,NA,0.110865817441267,0.0908775403355414,0.108580712764917,0,0,0.4464,"POD"
"cod4_HCR-A_Ftrgt-0.11_Btrigger-210000_TACconstr-FALSE_BB-FALSE.rds","cod4",0.11,210000,"A",FALSE,FALSE,107000,37955.134,19079.3136,34453.374,37020.5,19873,33890.5,0.00995,0,0.0398,0,0,0.185,0,0.0739325462362025,0.370985984164167,0.106222418132721,420077.349009132,221243.186687243,372968.328882123,1,2,0,0,NA,0.110904580188467,0.0895152159466739,0.108665331526242,0,0.001,0.4878,"POD"
"cod4_HCR-A_Ftrgt-0.11_Btrigger-2e+05_TACconstr-FALSE_BB-FALSE.rds","cod4",0.11,2e+05,"A",FALSE,FALSE,107000,37948.6507,19209.4078,34413.2966,37014.5,20056.5,33847.5,0.01,0,0.04,0,0,0.185,0,0.0737282860689883,0.362533358998333,0.106475006609181,419954.768634131,220267.687325668,372503.710935575,1,2,0,0,NA,0.11087461923872,0.0904217619697716,0.108684342149289,0,4e-04,0.4668,"POD"
"cod4_HCR-A_Ftrgt-0.12_Btrigger-110000_TACconstr-FALSE_BB-FALSE.rds","cod4",0.12,110000,"A",FALSE,FALSE,107000,39758.3202,21955.5444,35998.8888,38775.5,20039,35465.5,0.01065,0,0.0426,0,0,0.185,0,0.0741474930848433,0.280399960769605,0.110043301978133,401688.308009943,206102.546563008,355865.021493995,1,2,0,0,NA,0.120926826376019,0.105684735145104,0.118238797704705,0,0,0.0684,"POD"
"cod4_HCR-A_Ftrgt-0.12_Btrigger-120000_TACconstr-FALSE_BB-FALSE.rds","cod4",0.12,120000,"A",FALSE,FALSE,107000,39762.6201,21839.4488,36033.838,38786.5,20200,35496,0.0105,0,0.042,0,0,0.185,0,0.0741792636878671,0.295673309516949,0.109666207604472,401743.122433212,207440.749994816,356220.010789948,1,2,0,0,NA,0.120902775287212,0.104749360598974,0.118225938748301,0,0,0.3184,"POD"
"cod4_HCR-A_Ftrgt-0.12_Btrigger-130000_TACconstr-FALSE_BB-FALSE.rds","cod4",0.12,130000,"A",FALSE,FALSE,107000,39769.4802,21675.031,36081.2534,38799,20426.5,35535.5,0.01035,0,0.0414,0,0,0.185,0,0.0742116785472904,0.322418703753844,0.109028919459177,401964.669078294,209202.655823235,356721.929044076,1,2,0,0,NA,0.120938187585312,0.103590456990767,0.118221908958477,0,0,0.3578,"POD"
"cod4_HCR-A_Ftrgt-0.12_Btrigger-140000_TACconstr-FALSE_BB-FALSE.rds","cod4",0.12,140000,"A",FALSE,FALSE,107000,39776.1932,21508.1338,36132.1222,38804.5,20671.5,35568,0.01035,0,0.0414,0,0,0.185,0,0.0745742178366378,0.331845477464444,0.108671534683937,402090.125034289,211022.349412188,357502.351095328,1,2,0,0,NA,0.120959837129422,0.102108431080391,0.118305947838061,0,0,0.385,"POD"
