"file","OM","Ftrgt","Btrigger","HCR","TACconstr","BB","Blim","catch_long","catch_short","catch_medium","catch_median_long","catch_median_short","catch_median_medium","risk1_full","risk1_long","risk1_short","risk1_medium","risk3_long","risk3_short","risk3_medium","iav_long","iav_short","iav_medium","ssb_median_long","ssb_median_short","ssb_median_medium","recovery_proportion","recovery_time","conv_failed","F_maxed","F0","fbar_median_long","fbar_median_short","fbar_median_medium","slope_long","slope_medium","slope_short","HPC","iavTAC_long","iavTAC_short","iavTAC_medium"
"cod4_HCR-B_Ftrgt-0.35_Btrigger-180000_TACconstr-FALSE_BB-FALSE.rds","cod4",0.35,180000,"B",FALSE,FALSE,107000,54463.1277,44414.4852,54416.6124,54401.5,41331,54244.5,0.02255,0.0136,0.0508,0.0122,0.017,0.185,0.015,0.15659630929685,0.487122377359796,0.208295932381981,180900.537614799,173628.383194219,181115.267211605,0.999,2,0,0,FALSE,0.3374652190502,0.262727311752588,0.340235802396129,0.4565,0.4222,0.5934,"UEA",0.156801754467244,0.28865303110201,0.218826586192094
"cod4_HCR-B_Ftrgt-0.35_Btrigger-190000_TACconstr-FALSE_BB-FALSE.rds","cod4",0.35,190000,"B",FALSE,FALSE,107000,54413.5902,44210.5562,54223.9018,54250,40656,54044,0.02045,0.0112,0.0494,0.01,0.015,0.185,0.014,0.166176696903951,0.51948551179207,0.214436049870788,183768.083074994,175729.950127417,183177.186004654,1,2,0,0,FALSE,0.332358981014354,0.254235697256915,0.334598451775723,0.5274,0.4984,0.6262,"UEA",0.166585752912602,0.306023288341094,0.224618689051885
"cod4_HCR-B_Ftrgt-0.35_Btrigger-190000_TACconstr-TRUE_BB-TRUE.rds","cod4",0.35,190000,"B",TRUE,TRUE,107000,54426.42057,43081.84456,56213.6886,52038.45,37962.65,53819.8,0.02035,0.0111,0.0498,0.0094,0.018,0.185,0.014,0.309946986553508,0.524209355799314,0.359464836611384,183515.358918561,174968.094789413,184521.042903563,0.999,2,0,0,FALSE,0.322395161695052,0.23721429615714,0.338389716618445,0.525,0.5188,0.6224,"UEA",0.183091798454181,0.307728118359376,0.236136828124545
"cod4_HCR-B_Ftrgt-0.36_Btrigger-110000_TACconstr-FALSE_BB-FALSE.rds","cod4",0.36,110000,"B",FALSE,FALSE,107000,54678.6941,45806.7576,54963.6814,53398,43256,53657,0.0489,0.039,0.0834,0.0342,0.043,0.185,0.037,0.12458051978662,0.23191105377619,0.2178592440447,168482.648957459,154851.659680986,169576.546107837,0.995,3,0,0,FALSE,0.363011931734635,0.321610137036909,0.363838269800997,0.0378,0.0304,0.1266,"UEA",0.124506988174544,0.154470211290809,0.228236265195779
"cod4_HCR-B_Ftrgt-0.36_Btrigger-110000_TACconstr-TRUE_BB-TRUE.rds","cod4",0.36,110000,"B",TRUE,TRUE,107000,54663.49546,44602.5677,57185.29236,52673.95,42446.4,55484.9,0.05,0.0387,0.0908,0.0318,0.048,0.185,0.042,0.333263739008918,0.231449050103694,0.430135020011645,168149.889100188,152770.163240372,171336.322080233,0.995,3,0,0,FALSE,0.358514736617571,0.316147075400999,0.376987245623963,0.0379,0.0322,0.136,"UEA",0.144498226051821,0.156344313751056,0.236175595061906
"cod4_HCR-B_Ftrgt-0.36_Btrigger-120000_TACconstr-FALSE_BB-FALSE.rds","cod4",0.36,120000,"B",FALSE,FALSE,107000,54674.4909,45830.3938,54922.5458,53418,43610,53613.5,0.0473,0.0383,0.0776,0.035,0.043,0.185,0.037,0.126047672795184,0.254579966179612,0.21375482199803,168474.90426703,156879.537421905,169815.066941319,0.994,3,0,0,FALSE,0.362385915041997,0.317349739392322,0.363509795786208,0.0719,0.0582,0.3988,"UEA",0.125803598816396,0.170707676555465,0.226318489709391
"cod4_HCR-B_Ftrgt-0.36_Btrigger-120000_TACconstr-TRUE_BB-TRUE.rds","cod4",0.36,120000,"B",TRUE,TRUE,107000,54656.04491,44669.55482,57101.38008,52672.05,41542.3,55461.3,0.04705,0.0384,0.0796,0.0318,0.05,0.185,0.042,0.331377396818194,0.27807305213163,0.425863728524525,168069.847344715,155856.594797717,171368.597988726,0.996,3,0,0,FALSE,0.357319185522607,0.305528331135782,0.376096386403,0.0755,0.0634,0.4,"UEA",0.146248242663166,0.173908201241285,0.230941105362235
"cod4_HCR-B_Ftrgt-0.36_Btrigger-130000_TACconstr-FALSE_BB-FALSE.rds","cod4",0.36,130000,"B",FALSE,FALSE,107000,54664.6902,45791.7416,54910.341,53515.5,43864.5,53574.5,0.04365,0.0364,0.0696,0.0322,0.042,0.185,0.033,0.128249576662203,0.301912921940589,0.204013161340017,168729.57369423,159737.869909564,170026.658193122,0.994,3,0,0,FALSE,0.36159681512378,0.310186112984323,0.363521113198707,0.1234,0.0992,0.451,"UEA",0.128264507749678,0.196784992948253,0.216695685489437
"cod4_HCR-B_Ftrgt-0.36_Btrigger-130000_TACconstr-TRUE_BB-FALSE.rds","cod4",0.36,130000,"B",TRUE,FALSE,107000,54664.6902,45791.7416,54910.341,53515.5,43864.5,53574.5,0.04365,0.0364,0.0696,0.0322,0.042,0.185,0.033,0.128249576662203,0.301912921940589,0.204013161340017,168729.57369423,159737.869909564,170026.658193122,0.994,3,0,0,NA,0.36159681512378,0.310186112984323,0.363521113198707,0.1234,0.0992,0.451,"UEA",0.128264507749678,0.196784992948253,0.216695685489437
"cod4_HCR-B_Ftrgt-0.36_Btrigger-130000_TACconstr-TRUE_BB-TRUE.rds","cod4",0.36,130000,"B",TRUE,TRUE,107000,54664.11684,44608.80128,57078.37032,52728.15,41125.7,55593.1,0.0435,0.0362,0.0718,0.0298,0.046,0.185,0.04,0.328626104394031,0.322722303893852,0.416183307135657,168380.752692848,158557.91393733,171710.562016202,0.996,3,0,0,FALSE,0.356416414935011,0.295717851506575,0.374120602484302,0.129,0.1066,0.4534,"UEA",0.150569326120699,0.201405183512864,0.231155906118905
